"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
138,"Hagen - Ennepe-Ruhr-Kreis I",5,212903,147183,33.5154195797069,34.8735927382918,46.2308826426965,36.2677754903759,3.38218408375967,4.48693123526494,5.55838649844072,6.67196619174769,4.43053885299253,6.66245422365355,2.67082475557639,2.21628856593492,NA,4.33066318800405,69.1314824121783,323.4,285.4,886.3,8.3,10.7,35.9,17.9,10.8,40.7,590.5,9.1,105.5,"North Rhine-Westphalia",FALSE
139,"Ennepe-Ruhr-Kreis II",5,181174,134749,35.2729890388797,32.6740829245486,41.7049477176083,37.8080727871821,1.9784933468894,4.43565443899398,5.00411876897046,6.30654030827687,8.13660954812281,8.95813698060839,2.22858796725764,2.18999769942634,2.9632872971228,3.84270013135533,74.3754622627971,245.4,230.5,940,7.6,10.4,37.6,18.5,10.6,39.4,470.5,7.2,78.5,"North Rhine-Westphalia",FALSE
140,"Bochum I",5,210904,154030,34.9678634032331,30.1551645783289,43.4012854638707,38.1523079919496,1.34324482243719,3.80575212620918,6.70713497370642,7.80497305719665,6.70194118028955,9.52217100564825,2.9916250081153,2.53392196325391,NA,3.77848471077063,73.0332283882714,103.3,282,2736.2,8.7,12.8,37.1,16.9,10.4,41.4,333.5,9.6,103.6,"North Rhine-Westphalia",FALSE
141,"Herne - Bochum II",5,184009,126927,29.7864126623965,27.6922955714702,47.7518573668329,43.2343000307263,1.49219630181128,2.77955045025881,7.48461714213682,8.00617677877835,5.66782481268761,6.51949545801918,2.97730191369843,2.42501595405233,NA,3.89909160383528,68.9786912596666,93.8,255,2725.5,8.3,11.8,37.4,17,10.6,38.6,297.6,11.8,118.9,"North Rhine-Westphalia",FALSE
142,"Dortmund I",5,213946,149031,30.4030705021103,28.65980903302,44.9698384899786,37.6968550167415,1.93382584831344,4.09780515463226,5.92829679731063,7.81917856016534,7.40919674430152,10.6199381336769,2.53303004072978,2.73634344532346,3.48115492749831,4.0662680918735,69.6582315163639,126.3,284,2249.2,8.8,12.9,35.7,16.7,10,38.5,503.8,12.6,137.2,"North Rhine-Westphalia",FALSE
143,"Dortmund II",5,206701,137503,31.7723976931412,28.8022806775125,46.0993578321928,40.495843727046,1.46469531573857,3.73737300277085,6.79257907100209,7.68565049489829,6.71112630269885,8.23836570838454,2.93520868635593,2.4159472884228,NA,4.05154796622619,66.5226583325673,154.4,297.4,1922.6,8.8,12.9,35.7,16.7,10,38.5,503.8,12.6,137.2,"North Rhine-Westphalia",FALSE
144,"Unna I",5,200068,148119,35.3992398004307,31.592165758613,46.1027957250589,40.5207974669016,1.69728394061532,3.94952706945091,5.2316043181496,6.16193736117581,5.56444480451529,7.80926147219466,2.38659456248017,2.15299860247504,NA,3.73010889892586,74.0343283283684,347.1,265.2,766.1,8.2,10.5,37.3,17.5,10,38.1,388,9,93.4,"North Rhine-Westphalia",FALSE
145,"Hamm - Unna II",5,238091,167338,38.7664487444573,36.4436051584219,42.5330767667834,38.0343974470832,2.05512196871004,3.67698908795372,5.54386929448183,6.21436852358699,4.93014139047915,5.96995302919839,2.34854008055552,2.07065938400124,NA,3.30050556358986,70.2832110411565,421.9,325.2,772.1,8.4,11.3,36.9,16.5,9.6,33.5,375.8,9.9,107.8,"North Rhine-Westphalia",FALSE
146,"Soest",5,232311,167911,49.0700430585251,44.2972765334016,32.8310831333266,30.0391278713128,2.30479241979382,4.89425945888,4.92344158512545,5.19382291809351,5.87692289367582,6.88757734752339,2.37983217299641,2.03083776524468,NA,3.40120659158721,72.2785404048883,1327.7,303.8,228.7,8.2,10.8,37.4,16.3,9.5,35.6,485.9,6.1,58.3,"North Rhine-Westphalia",FALSE
147,"Hochsauerlandkreis",5,205948,151727,55.3309562569615,49.1211188516217,29.4489444858199,27.7168862496457,1.89682785529273,5.02547338311573,4.05926433660456,4.64979865152544,4.15746702959921,4.7196609700317,2.16177740283536,1.93769072083413,NA,3.38766336907736,73.6724804319537,1960.2,264.4,135.3,8.3,10.3,36.5,16.6,10.3,29.7,444,5.1,52.4,"North Rhine-Westphalia",FALSE
